date,user_id,habit,status
2025-07-06,7915681599,Drink water 💧,✅
2025-07-06,7915681599,move 🤸‍♀️,✅
2025-07-06,7915681599,code 👩‍💻,✅
2025-07-08,7915681599,Drink water 💧,✅
2025-07-08,7915681599,move 🤸‍♀️,❌
2025-07-08,7915681599,code 👩‍💻,✅
2025-07-11,7915681599,Drink water 💧,✅
2025-07-11,7915681599,move 🤸‍♀️,❌
2025-07-11,7915681599,code 👩‍💻,❌
2025-07-13,7915681599,Drink water 💧,✅
2025-07-13,7915681599,move 🤸‍♀️,✅
2025-07-13,7915681599,code 👩‍💻,❌
2025-07-14,7915681599,Drink water 💧,✅
2025-07-14,7915681599,move 🤸‍♀️,✅
2025-07-14,7915681599,code 👩‍💻,❌
2025-07-15,7915681599,Drink water 💦,✅
2025-07-15,7915681599,move 🌞,✅
2025-07-15,7915681599,read 📕,❌
2025-07-17,7915681599,Drink water 💦,✅
2025-07-17,7915681599,move 🌞,✅
2025-07-17,7915681599,read 📕,✅
2025-07-20,7915681599,Drink water 💦,❌
